iter	RMSE
0	0.3061285061
1	0.3054477158
2	0.3048944596
3	0.3044668441
4	0.3040280799
5	0.3036479314
6	0.3033363721
7	0.3030083812
8	0.3027373161
9	0.3025055131
10	0.3022817247
11	0.3021033642
12	0.301904816
13	0.3017494171
14	0.3015806026
15	0.3014349768
16	0.3012900488
17	0.3011533499
18	0.3010250069
19	0.3009079662
20	0.3008003866
21	0.3006998573
22	0.3006090824
23	0.3005202151
24	0.3004450528
25	0.3003565853
26	0.3002778363
27	0.3001803094
28	0.3001016878
29	0.3000317712
30	0.2999614832
31	0.2999045171
32	0.2998495806
33	0.2998138212
34	0.2997644576
35	0.2997195884
36	0.299672144
37	0.299625546
38	0.299581175
39	0.299545345
40	0.2995073964
41	0.2994718062
42	0.2994305423
43	0.2993938397
44	0.2993582013
45	0.299327923
46	0.2992963986
47	0.2992689825
48	0.2992346156
49	0.299207851
50	0.2991855693
51	0.2991492073
52	0.2991253512
53	0.2991056268
54	0.2990801607
55	0.2990560898
56	0.2990246744
57	0.2990036598
58	0.2989769921
59	0.2989603613
60	0.2989423913
61	0.2989220282
62	0.2988967279
63	0.298875133
64	0.2988545024
65	0.2988367527
66	0.2988231255
67	0.2988029449
68	0.2987761293
69	0.2987607018
70	0.2987443282
71	0.2987281735
72	0.2987051843
73	0.2986841368
74	0.2986663438
75	0.2986509927
76	0.2986284141
77	0.2986085259
78	0.2985944649
79	0.2985767936
80	0.2985680414
81	0.2985535478
82	0.298535315
83	0.2985270277
84	0.2985174828
85	0.2985030253
86	0.2984891043
87	0.2984716153
88	0.2984598591
89	0.2984443806
90	0.2984326843
91	0.29841733
92	0.2983982541
93	0.2983889893
94	0.2983748087
95	0.2983605458
96	0.2983443512
97	0.2983341498
98	0.298323036
99	0.2983117662
100	0.2982969365
101	0.298287419
102	0.2982771176
103	0.2982638732
104	0.2982505487
105	0.2982403224
106	0.2982276579
107	0.2982162571
108	0.2982028735
109	0.298187179
110	0.2981763752
111	0.2981634903
112	0.2981513279
113	0.2981375374
114	0.2981278474
115	0.2981182633
116	0.2981044144
117	0.2980919588
118	0.2980797803
119	0.2980687115
120	0.2980554853
121	0.2980442027
122	0.2980333854
123	0.2980224405
124	0.2980118152
125	0.2980008287
126	0.2979909171
127	0.2979810717
128	0.2979702537
129	0.2979601143
130	0.2979497231
131	0.297938226
132	0.2979279766
133	0.2979175817
134	0.2979077536
135	0.2978974292
136	0.2978879353
137	0.2978775611
138	0.2978680699
139	0.2978582768
140	0.2978489306
141	0.2978399599
142	0.2978301254
143	0.2978206941
144	0.2978113983
145	0.2978023797
146	0.2977997677
147	0.2977913181
148	0.2977825009
149	0.2977735212
150	0.2977645622
151	0.2977549917
152	0.297746374
153	0.2977384155
154	0.2977301919
155	0.2977216319
156	0.2977132281
157	0.2977047656
158	0.2976966382
159	0.2976887078
160	0.2976807932
161	0.2976728225
162	0.2976653063
163	0.2976571058
164	0.2976493085
165	0.2976416306
166	0.297634473
167	0.2976268719
168	0.2976245514
169	0.2976173092
170	0.2976096213
171	0.2976020329
172	0.2975944558
173	0.297587199
174	0.2975797131
175	0.2975722106
176	0.2975647446
177	0.2975570988
178	0.2975499778
179	0.2975419619
180	0.2975344336
181	0.2975271714
182	0.2975202534
183	0.2975128501
184	0.2975062853
185	0.2974998667
186	0.2974930249
187	0.2974863227
188	0.2974793142
189	0.2974731545
190	0.2974663015
191	0.2974597533
192	0.2974530865
193	0.2974461798
194	0.2974393728
195	0.2974330645
196	0.2974259932
197	0.297419528
198	0.2974132559
199	0.2974067587
200	0.2974000527
201	0.2973934009
202	0.297386029
203	0.2973795331
204	0.2973734371
205	0.2973668945
206	0.2973605812
207	0.2973541301
208	0.2973480971
209	0.2973421115
210	0.2973362766
211	0.297330283
212	0.2973242488
213	0.2973181165
214	0.2973113444
215	0.2973054405
216	0.2972995167
217	0.2972934664
218	0.2972877884
219	0.2972816145
220	0.2972755076
221	0.2972696214
222	0.2972641884
223	0.2972582315
224	0.2972528866
225	0.2972471213
226	0.2972426155
227	0.2972371246
228	0.2972315173
229	0.2972258572
230	0.2972203572
231	0.2972151792
232	0.297209402
233	0.2972034823
234	0.2971970633
235	0.2971913592
236	0.29718602
237	0.2971807066
238	0.2971749824
239	0.2971695162
240	0.2971646341
241	0.2971591773
242	0.297153365
243	0.2971475982
244	0.2971420048
245	0.2971366144
246	0.2971309258
247	0.2971252468
248	0.2971199772
249	0.2971144359
250	0.2971097702
251	0.2971041574
252	0.2970989734
253	0.2970936528
254	0.2970882238
255	0.2970832127
256	0.2970777325
257	0.297072189
258	0.2970667862
259	0.2970618924
260	0.2970571246
261	0.2970522033
262	0.2970469613
263	0.2970417804
264	0.2970371348
265	0.2970321712
266	0.2970274193
267	0.2970224495
268	0.2970176107
269	0.2970124752
270	0.2970079422
271	0.2970027664
272	0.2969976023
273	0.2969923258
274	0.2969876814
275	0.2969826742
276	0.2969782952
277	0.2969732349
278	0.2969688034
279	0.2969644052
280	0.2969593163
281	0.2969542694
282	0.2969492385
283	0.2969439879
284	0.2969394106
285	0.2969346255
286	0.2969301439
287	0.2969254396
288	0.2969206534
289	0.2969163735
290	0.2969116324
291	0.2969074088
292	0.2969024348
293	0.2968976691
294	0.2968932521
295	0.2968891908
296	0.2968847668
297	0.2968801484
298	0.2968755218
299	0.29687117
