iter	Passed	Remaining
0	7	3876
1	13	3296
2	18	3129
3	25	3169
4	31	3104
5	37	3102
6	43	3054
7	49	3040
8	55	3052
9	62	3047
10	68	3047
11	75	3053
12	79	2991
13	85	2953
14	91	2953
15	96	2908
16	101	2878
17	107	2885
18	112	2857
19	118	2833
20	123	2817
21	128	2786
22	133	2759
23	138	2753
24	143	2728
25	148	2708
26	154	2701
27	159	2690
28	164	2665
29	169	2662
30	174	2646
31	179	2627
32	185	2625
33	191	2618
34	196	2604
35	201	2599
36	206	2589
37	211	2575
38	218	2577
39	223	2566
40	228	2552
41	232	2538
42	237	2525
43	242	2512
44	247	2506
45	253	2500
46	258	2488
47	263	2479
48	268	2474
49	274	2469
50	279	2463
51	285	2460
52	291	2455
53	295	2443
54	302	2444
55	307	2434
56	311	2424
57	317	2416
58	321	2406
59	326	2396
60	332	2394
61	337	2387
62	342	2378
63	348	2373
64	353	2364
65	357	2353
66	363	2347
67	368	2338
68	373	2330
69	377	2321
70	384	2323
71	389	2317
72	395	2310
73	400	2304
74	404	2294
75	409	2287
76	416	2286
77	421	2279
78	425	2269
79	432	2269
80	436	2260
81	441	2253
82	447	2249
83	452	2239
84	457	2231
85	462	2225
86	466	2215
87	471	2209
88	477	2204
89	483	2202
90	488	2196
91	494	2193
92	499	2188
93	505	2181
94	511	2178
95	516	2172
96	521	2166
97	527	2161
98	532	2155
99	537	2148
100	542	2143
101	547	2137
102	552	2130
103	558	2128
104	563	2120
105	568	2113
106	573	2107
107	579	2103
108	584	2095
109	589	2090
110	594	2084
111	600	2078
112	604	2071
113	610	2067
114	615	2060
115	620	2053
116	626	2050
117	631	2043
118	636	2037
119	641	2032
120	646	2025
121	651	2018
122	657	2014
123	661	2007
124	666	1999
125	671	1994
126	677	1989
127	682	1982
128	687	1976
129	692	1971
130	697	1964
131	702	1959
132	708	1954
133	713	1947
134	718	1941
135	723	1937
136	728	1930
137	733	1924
138	739	1919
139	743	1913
140	748	1906
141	754	1901
142	759	1895
143	763	1888
144	769	1882
145	774	1877
146	778	1870
147	783	1864
148	789	1859
149	794	1853
150	800	1849
151	806	1845
152	811	1839
153	815	1833
154	821	1828
155	826	1821
156	831	1815
157	836	1810
158	841	1805
159	847	1800
160	853	1796
161	858	1791
162	864	1787
163	870	1783
164	876	1779
165	881	1774
166	887	1769
167	892	1763
168	898	1758
169	903	1753
170	908	1747
171	912	1740
172	918	1735
173	923	1731
174	929	1725
175	935	1722
176	941	1717
177	946	1712
178	951	1706
179	957	1701
180	962	1695
181	967	1691
